FeatureCode,DateCode,Measurement,Units,Value,Age of Dwelling,Type Of Dwelling,Number of Bedrooms,Type Of Tenure,Household Type,Fuel Poverty
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,19.3,All,All,All,All,Other,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,47,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,14.7,All,All,All,All,Families,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,21.1,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,23.7,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000021,2013-2015,Percent,Percent of households in extreme fuel poverty,23.5,All,Flats,All,All,All,Extreme Fuel Poor
S12000021,2013-2015,Percent,Percent of households in extreme fuel poverty,13,All,Houses,All,All,All,Extreme Fuel Poor
S12000038,2013-2015,Percent,Percent of households in extreme fuel poverty,13.8,All,All,All,All,Older,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,41.2,All,All,All,All,Older,Extreme Fuel Poor
S12000028,2013-2015,Percent,Percent of households in extreme fuel poverty,17.6,All,All,All,All,Older,Extreme Fuel Poor
S12000047,2013-2015,Percent,Percent of households in extreme fuel poverty,11,All,All,All,All,Families,Extreme Fuel Poor
S12000017,2013-2015,Percent,Percent of households in extreme fuel poverty,22.6,All,All,All,All,All,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,25.4,All,All,All,All,All,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,10.1,All,All,All,All,Families,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,31.3,All,All,All,All,Older,Extreme Fuel Poor
S12000013,2013-2015,Percent,Percent of households in extreme fuel poverty,24.5,All,All,All,All,Other,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,13.2,All,All,All,All,Other,Extreme Fuel Poor
S12000021,2013-2015,Percent,Percent of households in extreme fuel poverty,20.1,All,All,All,All,Older,Extreme Fuel Poor
S12000021,2013-2015,Percent,Percent of households in extreme fuel poverty,16.9,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000048,2013-2015,Percent,Percent of households in extreme fuel poverty,22.9,All,Flats,All,All,All,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,24.4,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,14.7,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,16.9,All,All,All,All,All,Extreme Fuel Poor
S12000021,2013-2015,Percent,Percent of households in extreme fuel poverty,13,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,8.7,All,All,All,All,All,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,17.8,All,All,All,All,Other,Extreme Fuel Poor
S12000040,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,12.1,All,All,All,All,Families,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,16.1,All,All,All,All,Other,Extreme Fuel Poor
S12000039,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.9,All,All,All,All,Families,Extreme Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,15.4,All,All,All,All,Families,Extreme Fuel Poor
S12000021,2014-2016,Percent,Percent of households in extreme fuel poverty,18.4,All,All,All,All,Other,Extreme Fuel Poor
S12000045,2017-2019,Percent,Percent of households in extreme fuel poverty,10.1,All,All,All,All,Older,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,16.9,All,Houses,All,All,All,Extreme Fuel Poor
S12000050,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,9.4,All,All,All,All,Families,Extreme Fuel Poor
S12000020,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,25.7,All,All,All,All,Families,Extreme Fuel Poor
S12000027,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20.8,All,All,All,All,Families,Extreme Fuel Poor
S12000030,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,12,All,All,All,All,Families,Extreme Fuel Poor
S12000018,2014-2016,Percent,Percent of households in extreme fuel poverty,15.4,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000019,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20,All,All,All,All,Families,Extreme Fuel Poor
S12000033,2016-2018,Percent,Percent of households in extreme fuel poverty,6.9,All,Houses,All,All,All,Extreme Fuel Poor
S12000050,2016-2018,Percent,Percent of households in extreme fuel poverty,9,All,All,All,All,All,Extreme Fuel Poor
S12000028,2016-2018,Percent,Percent of households in extreme fuel poverty,11.9,All,All,All,All,All,Extreme Fuel Poor
S12000048,2016-2018,Percent,Percent of households in extreme fuel poverty,15.6,All,All,All,All,All,Extreme Fuel Poor
S12000020,2016-2018,Percent,Percent of households in extreme fuel poverty,20,All,All,All,All,All,Extreme Fuel Poor
S12000030,2016-2018,Percent,Percent of households in extreme fuel poverty,11.1,All,All,All,All,All,Extreme Fuel Poor
S12000021,2016-2018,Percent,Percent of households in extreme fuel poverty,9,All,All,All,All,All,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,28.6,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,26.3,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000019,2014-2016,Percent,Percent of households in extreme fuel poverty,12,All,Houses,All,All,All,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,10.4,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,16.5,All,All,All,All,Families,Extreme Fuel Poor
S12000020,2014-2016,Percent,Percent of households in extreme fuel poverty,16.4,All,All,All,All,Older,Extreme Fuel Poor
S12000019,2014-2016,Percent,Percent of households in extreme fuel poverty,11.1,All,All,All,All,All,Extreme Fuel Poor
S12000030,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,29.2,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000006,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,34.6,All,All,All,All,Other,Extreme Fuel Poor
S12000018,2014-2016,Percent,Percent of households in extreme fuel poverty,19.1,All,All,All,All,Other,Extreme Fuel Poor
S12000029,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,30,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000040,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,23.3,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000048,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,46.6,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000034,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,16.4,All,All,All,All,Other,Extreme Fuel Poor
S12000021,2014-2016,Percent,Percent of households in extreme fuel poverty,12.1,All,All,All,All,All,Extreme Fuel Poor
S12000008,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.7,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000045,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,32.9,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000008,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,22.4,All,All,All,All,Other,Extreme Fuel Poor
S12000042,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,29.3,All,All,All,All,Other,Extreme Fuel Poor
S12000005,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,22.7,All,All,All,All,Other,Extreme Fuel Poor
S12000033,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,17.1,All,All,All,All,Other,Extreme Fuel Poor
S92000003,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,9.5,All,All,All,All,Families,Extreme Fuel Poor
S12000048,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,17.3,All,All,All,All,Families,Extreme Fuel Poor
S12000029,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,9,All,All,All,All,Families,Extreme Fuel Poor
S12000023,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,17,All,All,All,All,Families,Extreme Fuel Poor
S12000034,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.2,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,42.3,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000039,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.2,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000013,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,31.2,All,All,All,All,Other,Extreme Fuel Poor
S12000035,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,24.1,All,All,All,All,Other,Extreme Fuel Poor
S12000041,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,21.4,All,All,All,All,Other,Extreme Fuel Poor
S12000030,2014-2016,Percent,Percent of households in extreme fuel poverty,19,All,All,All,All,Other,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,24.1,All,All,All,All,Older,Extreme Fuel Poor
S12000040,2017-2019,Percent,Percent of households in extreme fuel poverty,6.9,All,Houses,All,All,All,Extreme Fuel Poor
S12000050,2017-2019,Percent,Percent of households in extreme fuel poverty,6.9,All,All,All,All,Families,Extreme Fuel Poor
S12000041,2014-2016,Percent,Percent of households in extreme fuel poverty,11.6,All,Flats,All,All,All,Extreme Fuel Poor
S12000041,2014-2016,Percent,Percent of households in extreme fuel poverty,12.6,All,Houses,All,All,All,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,17,All,All,All,All,Other,Extreme Fuel Poor
S12000030,2014-2016,Percent,Percent of households in extreme fuel poverty,6.1,All,All,All,All,Families,Extreme Fuel Poor
S12000047,2017-2019,Percent,Percent of households in extreme fuel poverty,7.4,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000041,2017-2019,Percent,Percent of households in extreme fuel poverty,7.3,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,12.8,All,Houses,All,All,All,Extreme Fuel Poor
S12000030,2014-2016,Percent,Percent of households in extreme fuel poverty,30.3,All,Flats,All,All,All,Extreme Fuel Poor
S12000039,2014-2016,Percent,Percent of households in extreme fuel poverty,12.5,All,All,All,All,All,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,17.2,All,All,All,All,Other,Extreme Fuel Poor
S12000028,2013-2015,Percent,Percent of households in extreme fuel poverty,12.9,All,Houses,All,All,All,Extreme Fuel Poor
S92000003,2017-2019,Percent,Percent of households in extreme fuel poverty,11,All,Houses,All,All,All,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,16.6,All,All,All,All,All,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,6.6,All,All,All,All,Families,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,20.8,All,All,All,All,Older,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,19.7,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000038,2017-2019,Percent,Percent of households in extreme fuel poverty,11,All,Flats,All,All,All,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,11.2,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000027,2017-2019,Percent,Percent of households in extreme fuel poverty,21.8,All,All,All,All,Other,Extreme Fuel Poor
S12000029,2017-2019,Percent,Percent of households in extreme fuel poverty,11,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000026,2017-2019,Percent,Percent of households in extreme fuel poverty,11,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,20.8,All,Flats,All,All,All,Extreme Fuel Poor
S12000036,2014-2016,Percent,Percent of households in extreme fuel poverty,19.5,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000005,2017-2019,Percent,Percent of households in extreme fuel poverty,11.1,All,All,All,All,Older,Extreme Fuel Poor
S12000010,2014-2016,Percent,Percent of households in extreme fuel poverty,14.3,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000010,2014-2016,Percent,Percent of households in extreme fuel poverty,15.8,All,All,All,All,Older,Extreme Fuel Poor
S92000003,2017-2019,Percent,Percent of households in extreme fuel poverty,21.7,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000023,2017-2019,Percent,Percent of households in extreme fuel poverty,21.8,All,All,All,All,All,Extreme Fuel Poor
S12000041,2014-2016,Percent,Percent of households in extreme fuel poverty,9.8,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000029,2014-2016,Percent,Percent of households in extreme fuel poverty,11.2,All,Flats,All,All,All,Extreme Fuel Poor
S12000030,2017-2019,Percent,Percent of households in extreme fuel poverty,8.4,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000042,2017-2019,Percent,Percent of households in extreme fuel poverty,8.4,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000038,2017-2019,Percent,Percent of households in extreme fuel poverty,11.1,All,All,All,All,Other,Extreme Fuel Poor
S12000011,2014-2016,Percent,Percent of households in extreme fuel poverty,14.7,All,All,All,All,All,Extreme Fuel Poor
S12000010,2014-2016,Percent,Percent of households in extreme fuel poverty,14,All,All,All,All,Other,Extreme Fuel Poor
S12000010,2017-2019,Percent,Percent of households in extreme fuel poverty,10.6,All,Houses,All,All,All,Extreme Fuel Poor
S12000036,2014-2016,Percent,Percent of households in extreme fuel poverty,24.3,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000005,2014-2016,Percent,Percent of households in extreme fuel poverty,8.1,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000036,2014-2016,Percent,Percent of households in extreme fuel poverty,6.3,All,All,All,All,Families,Extreme Fuel Poor
S12000047,2017-2019,Percent,Percent of households in extreme fuel poverty,11,All,All,All,All,All,Extreme Fuel Poor
S12000036,2017-2019,Percent,Percent of households in extreme fuel poverty,11.2,All,All,All,All,Older,Extreme Fuel Poor
S12000026,2017-2019,Percent,Percent of households in extreme fuel poverty,11.2,All,Houses,All,All,All,Extreme Fuel Poor
S12000048,2017-2019,Percent,Percent of households in extreme fuel poverty,21.7,All,All,All,All,Other,Extreme Fuel Poor
S12000010,2014-2016,Percent,Percent of households in extreme fuel poverty,5.9,All,Flats,All,All,All,Extreme Fuel Poor
S12000006,2017-2019,Percent,Percent of households in extreme fuel poverty,21.7,All,All,All,All,Older,Extreme Fuel Poor
S12000006,2017-2019,Percent,Percent of households in extreme fuel poverty,23.1,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000005,2014-2016,Percent,Percent of households in extreme fuel poverty,12.1,All,Flats,All,All,All,Extreme Fuel Poor
S12000010,2014-2016,Percent,Percent of households in extreme fuel poverty,8.1,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000017,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,31.7,All,All,All,All,Other,Extreme Fuel Poor
S12000020,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,23.6,All,All,All,All,Other,Extreme Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.4,All,All,All,All,Other,Extreme Fuel Poor
S12000011,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,25.1,All,All,All,All,Other,Extreme Fuel Poor
S12000042,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,21.8,All,All,All,All,Families,Extreme Fuel Poor
S12000006,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,16.6,All,All,All,All,Families,Extreme Fuel Poor
S12000010,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,21.8,All,All,All,All,Other,Extreme Fuel Poor
S12000049,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,18.5,All,All,All,All,Families,Extreme Fuel Poor
S12000018,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.2,All,All,All,All,Families,Extreme Fuel Poor
S92000003,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.3,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000049,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,25.5,All,All,All,All,Other,Extreme Fuel Poor
S12000018,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.2,All,All,All,All,Other,Extreme Fuel Poor
S12000006,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,37.6,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000038,2013-2015,Percent,Percent of households in extreme fuel poverty,11.6,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000038,2013-2015,Percent,Percent of households in extreme fuel poverty,12.2,All,All,All,All,Other,Extreme Fuel Poor
S12000028,2013-2015,Percent,Percent of households in extreme fuel poverty,13.3,All,All,All,All,Other,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,12,All,All,All,All,All,Extreme Fuel Poor
S12000048,2013-2015,Percent,Percent of households in extreme fuel poverty,17.4,All,All,All,All,Other,Extreme Fuel Poor
S12000028,2013-2015,Percent,Percent of households in extreme fuel poverty,12.8,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000038,2013-2015,Percent,Percent of households in extreme fuel poverty,11.1,All,All,All,All,All,Extreme Fuel Poor
S12000014,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,15.8,All,All,All,All,Other,Extreme Fuel Poor
S12000019,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,15.3,All,All,All,All,Other,Extreme Fuel Poor
S12000035,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.6,All,All,All,All,Families,Extreme Fuel Poor
S12000028,2013-2015,Percent,Percent of households in extreme fuel poverty,12.6,All,All,All,All,All,Extreme Fuel Poor
S12000023,2013-2015,Percent,Percent of households in extreme fuel poverty,25.1,All,Houses,All,All,All,Extreme Fuel Poor
S12000047,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20.4,All,All,All,All,Other,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,9.2,All,All,All,All,Other,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,10.3,All,Houses,All,All,All,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,6.8,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,12,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,9.3,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,11.5,All,Houses,All,All,All,Extreme Fuel Poor
S12000027,2013-2015,Percent,Percent of households in extreme fuel poverty,16.6,All,Houses,All,All,All,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,17.2,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,16.3,All,Houses,All,All,All,Extreme Fuel Poor
S12000045,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,15.2,All,All,All,All,Other,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,11.9,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000014,2013-2015,Percent,Percent of households in extreme fuel poverty,11.8,All,All,All,All,Older,Extreme Fuel Poor
S12000026,2013-2015,Percent,Percent of households in extreme fuel poverty,17.1,All,Flats,All,All,All,Extreme Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,11,All,All,All,All,Families,Extreme Fuel Poor
S12000011,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,10.3,All,All,All,All,Families,Extreme Fuel Poor
S12000013,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,28.3,All,All,All,All,Families,Extreme Fuel Poor
S12000033,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,26.2,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000035,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,42,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000008,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,22.4,All,All,All,All,Families,Extreme Fuel Poor
S12000030,2013-2015,Percent,Percent of households in extreme fuel poverty,15.5,All,All,All,All,All,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,13.2,All,Flats,All,All,All,Extreme Fuel Poor
S12000029,2013-2015,Percent,Percent of households in extreme fuel poverty,11.8,All,All,All,All,Older,Extreme Fuel Poor
S12000014,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,13.9,All,All,All,All,Families,Extreme Fuel Poor
S12000017,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,24.8,All,All,All,All,Families,Extreme Fuel Poor
S12000047,2014-2016,"95% Lower Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,11.7,All,All,All,All,Families,Extreme Fuel Poor
S12000010,2015-2017,Percent,Percent of households in extreme fuel poverty,13.8,All,Houses,All,All,All,Extreme Fuel Poor
S12000011,2015-2017,Percent,Percent of households in extreme fuel poverty,6.5,All,All,All,All,All,Extreme Fuel Poor
S12000010,2015-2017,Percent,Percent of households in extreme fuel poverty,7.2,All,Flats,All,All,All,Extreme Fuel Poor
S12000011,2015-2017,Percent,Percent of households in extreme fuel poverty,8.9,All,All,All,All,Other,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,14.1,All,Flats,All,All,All,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,11,All,Houses,All,All,All,Extreme Fuel Poor
S12000010,2015-2017,Percent,Percent of households in extreme fuel poverty,12.1,All,All,All,All,All,Extreme Fuel Poor
S12000049,2015-2017,Percent,Percent of households in extreme fuel poverty,5.7,All,All,All,All,Older,Extreme Fuel Poor
S12000020,2017-2019,Percent,Percent of households in extreme fuel poverty,13.8,All,All,All,All,Families,Extreme Fuel Poor
S12000049,2015-2017,Percent,Percent of households in extreme fuel poverty,10.4,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,10.3,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000011,2015-2017,Percent,Percent of households in extreme fuel poverty,10.4,All,All,All,All,Older,Extreme Fuel Poor
S12000049,2015-2017,Percent,Percent of households in extreme fuel poverty,13.1,All,All,All,All,All,Extreme Fuel Poor
S12000029,2017-2019,Percent,Percent of households in extreme fuel poverty,19.7,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000034,2014-2016,Percent,Percent of households in extreme fuel poverty,14.3,All,All,All,All,All,Extreme Fuel Poor
S12000039,2017-2019,Percent,Percent of households in extreme fuel poverty,12,All,Flats,All,All,All,Extreme Fuel Poor
S12000034,2014-2016,Percent,Percent of households in extreme fuel poverty,15.2,All,Houses,All,All,All,Extreme Fuel Poor
S12000006,2017-2019,Percent,Percent of households in extreme fuel poverty,13.8,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000020,2017-2019,Percent,Percent of households in extreme fuel poverty,13.3,All,All,All,All,Other,Extreme Fuel Poor
S12000008,2017-2019,Percent,Percent of households in extreme fuel poverty,13.3,All,All,All,All,Other,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,17.5,All,All,All,All,Other,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,8.5,All,All,All,All,Older,Extreme Fuel Poor
S12000050,2012-2014,Percent,Percent of households in extreme fuel poverty,12.1,All,All,All,All,All,Extreme Fuel Poor
S92000003,2017-2019,Percent,Percent of households in extreme fuel poverty,11.9,All,All,All,All,All,Extreme Fuel Poor
S12000036,2017-2019,Percent,Percent of households in extreme fuel poverty,11.9,All,Flats,All,All,All,Extreme Fuel Poor
S12000023,2017-2019,Percent,Percent of households in extreme fuel poverty,20.3,All,All,All,All,Other,Extreme Fuel Poor
S12000042,2014-2016,Percent,Percent of households in extreme fuel poverty,20,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000006,2014-2016,Percent,Percent of households in extreme fuel poverty,16.8,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000006,2014-2016,Percent,Percent of households in extreme fuel poverty,15.1,All,All,All,All,Older,Extreme Fuel Poor
S12000006,2014-2016,Percent,Percent of households in extreme fuel poverty,16.5,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000042,2017-2019,Percent,Percent of households in extreme fuel poverty,13.2,All,All,All,Social Rented,All,Extreme Fuel Poor
S12000030,2017-2019,Percent,Percent of households in extreme fuel poverty,13,All,All,All,All,Other,Extreme Fuel Poor
S12000006,2014-2016,Percent,Percent of households in extreme fuel poverty,23.2,All,All,All,Private Rented,All,Extreme Fuel Poor
S12000049,2017-2019,Percent,Percent of households in extreme fuel poverty,13,All,Flats,All,All,All,Extreme Fuel Poor
S92000003,2019,Percent,Percent of households in extreme fuel poverty,12.4,All,All,All,All,All,Extreme Fuel Poor
S12000047,2017-2019,Percent,Percent of households in extreme fuel poverty,13.1,All,All,All,All,Older,Extreme Fuel Poor
S12000021,2017-2019,Percent,Percent of households in extreme fuel poverty,12.8,All,All,All,All,Other,Extreme Fuel Poor
S12000034,2017-2019,Percent,Percent of households in extreme fuel poverty,12.7,All,All,All,Owner Occupied,All,Extreme Fuel Poor
S12000042,2017-2019,Percent,Percent of households in extreme fuel poverty,12.8,All,All,All,All,Older,Extreme Fuel Poor
